,Окт,Клнг,Моск,Горьк,Сев,С-Кав,Ю-Вост,Прив,Кбш,Сверд,Ю-Ур,З-Сиб,Крас,В-Сиб,Заб,Двост
2023-05-01,13817943.176951,1821438.034206,12116477.514686,8566030.474876,8026786.209336,6162267.395312,5111355.509042,21769541.574652,8022613.951626,9364462.472840,8101679.555695,6644352.643473,5649054.414317,8298688.984542,11386873.511459,11337480.036233
2023-06-01,14098790.332964,2025991.236267,12696966.564864,8318847.693667,7408724.015899,5566563.774557,4764120.396775,18610919.962405,9589707.113631,9099009.265723,7658172.878638,6775931.668361,5931780.498957,7749951.554362,9643643.489807,9251106.411974
2023-07-01,12970987.962239,2038690.933849,12702105.980914,8050422.512958,7510813.941571,4640656.023357,4974350.369186,17091092.412943,8521219.464595,9070636.179085,8556756.440943,6575314.272085,5163189.427540,6605125.247140,7423830.972618,9335569.576271
2023-08-01,12202181.482666,1903486.341674,11614526.691306,7153493.665265,7390947.501689,5075879.165311,4824514.284387,18664996.735796,8222661.776531,7997559.972459,7002445.830927,5924746.979067,5859351.792362,8330255.621934,7433011.954199,7503626.663824
2023-09-01,13258465.647343,1860820.240665,11385917.327521,7188414.396769,6533739.712107,4761436.952290,4543485.824620,18447203.049629,6954269.652701,8292060.215144,6415287.007854,5295835.896642,5193692.763646,7132278.050284,8761385.278306,7974677.437233
2023-10-01,12262111.849757,1833386.324733,10754876.003491,6646518.010521,6457349.391038,5394975.016798,4839847.730004,16253695.671848,8020490.987315,9021509.090703,6641332.652189,6293882.852781,5183194.263003,7161573.632561,9235755.776866,6520224.189180
2023-11-01,12526072.031893,2120522.376785,11846951.455067,6338750.829897,6273171.395660,4452612.268842,4401141.825792,17562745.561173,7251337.763126,8466127.750061,6684958.550890,5577126.075758,6161965.002955,7028995.009079,7982614.068395,8079923.786066
2023-12-01,12129292.573560,1993741.696220,11431208.958404,7714376.290349,6579262.012272,5105477.361151,4784789.163344,18658142.582198,7292887.605257,8273230.228935,6064932.311782,5707596.092314,5184784.563492,6948274.932971,7586153.792206,7867720.732491
2024-01-01,13052808.637737,2022811.925023,11753351.538984,7459162.334821,7409478.127279,5085173.959322,4504989.737158,17607515.767462,8144580.481364,8638026.384035,7515403.675205,6904266.772534,6277834.903254,7574537.759526,7884658.612622,8770852.403148
2024-02-01,13863794.628188,1919758.638826,13291395.522132,7329945.473011,7349864.569669,6307001.382013,4964703.422591,18898027.497965,8527889.123672,8979746.119492,7563582.192528,6790273.507022,5802410.496624,7219469.285570,11129819.822994,9900879.224104
2024-03-01,13582195.281740,2079839.598027,12118118.538886,7995677.678045,7537664.332610,6140030.631978,5470840.695829,21379591.987390,8307718.453438,10227390.744211,7962508.006016,6866337.272694,6057084.611927,9415594.365009,10766956.565901,8790698.235565
2024-04-01,14462849.009173,2505015.028662,13604890.007129,8114486.793639,7763424.079917,5739120.862240,5582230.633223,22135014.278709,8501697.989896,9259028.599096,7678560.826416,6452945.734639,7134194.673151,7755244.000789,10246207.674753,9384906.615510
2024-05-01,13824039.392158,2573980.317291,12355324.405916,8358749.090277,8073399.704210,6200603.619240,5170655.950926,20778265.001077,8350371.102030,9537806.488806,7475590.982576,7079486.865556,6079099.006707,7764401.307392,9837657.624497,10132589.909411
2024-06-01,13595819.791770,2564524.199384,13532048.780467,8815902.326682,7103302.298976,6075678.115449,5052686.891109,18636852.313165,8057309.132738,9207802.074462,8085497.050334,7694857.442208,5451470.008497,7805703.731140,10434646.673960,11001077.179637
2024-07-01,12924146.693885,1944838.050884,11846447.589394,7681884.111980,7031728.833768,5560553.360373,4367137.875996,20537061.111699,7940117.713117,8421846.150980,7810472.162066,6585953.065551,5754504.909178,8321537.862426,9703219.977998,8607034.132271
2024-08-01,13634472.425588,1903810.446247,11515322.637907,7151487.540799,6818708.360334,5508365.024415,4463724.573091,17052362.435521,7034674.098580,7445270.671270,7121477.705780,6129685.398517,5318708.777858,7336421.166298,7609740.694556,8585408.894339
2024-09-01,12318892.650513,1907409.116081,11262068.793110,7754073.490131,6970882.073964,3934465.617240,4653268.913830,16549478.077926,7085659.094932,8128945.172098,5840622.026910,5997571.876324,5304669.572525,6456547.652669,6869429.192891,7582692.339572
2024-10-01,11646144.535522,2232396.450893,9453387.449247,7051974.082632,6243983.117107,4119045.371659,4490061.504832,16992337.834490,7841733.940859,7773814.283553,6769045.178334,5495003.866733,5054074.105669,7609669.180379,6720620.907191,9056296.475805
2024-11-01,12703580.385600,1890248.005841,10501193.459702,6865129.358626,6119095.026961,4983387.469158,4533020.347855,18505442.946479,7833001.069691,8226971.418256,5840642.832393,5569074.465892,5948293.310257,7443449.197410,7462828.978942,6260492.181886
2024-12-01,12031244.841681,2291502.570947,12117982.136501,6860318.589806,6477037.575077,4632782.177686,4579098.772821,18570642.643219,7184227.046220,7931923.149470,6622470.964327,5781071.806306,5567357.543593,7605050.811942,7769193.091776,8168196.835735
2025-01-01,13229431.797502,2169411.247248,12586602.183586,7574396.697148,7515542.511524,5568152.291332,4814618.947588,19164865.500362,8583269.125314,9430409.445954,7681167.968607,5988770.017845,5269595.713629,8045367.120585,10539616.149686,7387064.773150
2025-02-01,12628498.271393,2520232.370619,12768955.877110,7817193.838363,8303320.717705,4690544.042961,4862736.991491,20246621.863451,7515947.032099,8617685.731273,7959252.650100,6375272.053690,5962758.047375,9236347.616958,9323264.106633,7277242.743571
2025-03-01,13293599.046002,2608873.590446,12057105.984543,8168977.307384,7050026.766490,7590312.816229,5451827.894620,20592232.142879,10001559.150700,10496230.367150,8140154.366878,6590522.365371,5838943.533623,9389598.563500,9157735.762143,9954700.127036
2025-04-01,14173430.617935,2481134.293168,13564019.089268,8761177.636574,7238780.939885,6220557.400888,5433791.883317,21408139.514519,9539323.262734,8536834.760770,8622472.860931,6713376.196466,6104133.488457,8049142.328498,9389185.636524,9984098.236918
2025-05-01,14293592.027115,2207814.305016,13484443.531018,7907941.449773,7558592.561966,6834317.660067,5386451.689623,18085824.063208,8497121.033624,9721534.902140,8179859.202505,6619294.029639,5796826.390050,9112326.945721,10103527.791027,9478860.934348
2025-06-01,13627350.807262,2252431.112414,12570412.049187,8032499.616599,7424930.243231,5741967.753875,4896356.213866,19620059.207597,8670379.947534,9412341.742849,6741441.348732,6603454.742804,6649991.483122,8237417.428213,8110088.289319,9177544.727968
2025-07-01,12967175.858806,2458225.701444,12785386.332081,7802492.662602,7375802.971166,5670265.931032,4156497.124039,19191321.934917,7373707.002612,8195582.425902,7105377.785851,6235267.207283,5393848.718021,7947047.908069,8989224.690857,11136139.547257
2025-08-01,12357781.485539,2190148.367029,10842431.080242,6753904.993270,6267323.479463,5761376.489839,4879979.146859,16832319.249714,7699388.061630,8473386.362717,6874609.527354,5968194.981405,5599814.189865,6503031.250845,7134078.116233,7845959.889575
2025-09-01,11386380.267699,1822212.313510,10516369.211209,6392714.444110,5930383.150859,5271396.812865,4222502.727972,17670939.176909,7279514.827388,8652871.671783,6544047.170115,6288053.783067,5042968.230262,7009422.667990,8860313.764769,8016369.004459
2025-10-01,11615077.895803,1804454.938942,8964938.561307,6550279.897634,6373805.885577,4468189.176824,4038667.270787,16845528.779014,6841784.971970,6430325.363054,6233955.837871,5626943.695487,4675388.722933,6596088.204832,7728239.447651,6923008.144309
2025-11-01,11861988.544069,1571101.091445,11500482.105895,6528777.840870,6285835.226591,4625866.640564,4570864.305015,19106758.224080,7127067.600476,8178474.021088,6145244.020436,6558491.154850,5222029.950600,7511978.291464,9713152.342748,7834455.575491
2025-12-01,12970227.779776,2320117.758396,11507203.374429,7463016.376830,7072024.448997,5527199.946758,4426562.874691,19689686.391882,7365672.928762,6706120.841135,7960335.236257,6032325.815929,5492742.142980,7891373.583535,8104619.478448,7841913.059956
